NumPreceeding	NumFollowing	NumNeighbors	Threshold	Recall	Precision	F-Score	Runtime
0	1	1	0.100	0.000000	0.000000	0.000000	0:00:00.123287
0	1	1	0.300	0.000000	0.000000	0.000000	0:00:00.081972
0	1	1	0.500	0.000000	0.000000	0.000000	0:00:00.101114
0	1	1	0.700	0.000000	0.000000	0.000000	0:00:00.079585
0	1	1	0.900	0.000000	0.000000	0.000000	0:00:00.096327
0	1	1	0.999	0.000000	0.000000	0.000000	0:00:00.151872
0	1	3	0.100	0.723684	0.055388	0.102900	0:00:00.118550
0	1	3	0.300	0.723684	0.055388	0.102900	0:00:00.106486
0	1	3	0.500	0.723684	0.055388	0.102900	0:00:00.091660
0	1	3	0.700	0.000000	0.000000	0.000000	0:00:00.096372
0	1	3	0.900	0.000000	0.000000	0.000000	0:00:00.078853
0	1	3	0.999	0.000000	0.000000	0.000000	0:00:00.075449
0	1	5	0.100	0.723684	0.049706	0.093023	0:00:00.103260
0	1	5	0.300	0.723684	0.049706	0.093023	0:00:00.096635
0	1	5	0.500	0.723684	0.049706	0.093023	0:00:00.095196
0	1	5	0.700	0.723684	0.049706	0.093023	0:00:00.083216
0	1	5	0.900	0.000000	0.000000	0.000000	0:00:00.075834
0	1	5	0.999	0.000000	0.000000	0.000000	0:00:00.076446
0	1	7	0.100	1.000000	0.061315	0.115545	0:00:00.087439
0	1	7	0.300	1.000000	0.061315	0.115545	0:00:00.080540
0	1	7	0.500	1.000000	0.061315	0.115545	0:00:00.075930
0	1	7	0.700	1.000000	0.061315	0.115545	0:00:00.088014
0	1	7	0.900	0.723684	0.050320	0.094098	0:00:00.082654
0	1	7	0.999	0.723684	0.050320	0.094098	0:00:00.097105
0	3	1	0.100	0.000000	0.000000	0.000000	0:00:00.133880
0	3	1	0.300	0.000000	0.000000	0.000000	0:00:00.109666
0	3	1	0.500	0.000000	0.000000	0.000000	0:00:00.129040
0	3	1	0.700	0.000000	0.000000	0.000000	0:00:00.118652
0	3	1	0.900	0.000000	0.000000	0.000000	0:00:00.120093
0	3	1	0.999	0.000000	0.000000	0.000000	0:00:00.113488
0	3	3	0.100	0.309211	0.014785	0.028220	0:00:00.143933
0	3	3	0.300	0.309211	0.014785	0.028220	0:00:00.134679
0	3	3	0.500	0.309211	0.014785	0.028220	0:00:00.128887
0	3	3	0.700	0.000000	0.000000	0.000000	0:00:00.140665
0	3	3	0.900	0.000000	0.000000	0.000000	0:00:00.147885
0	3	3	0.999	0.000000	0.000000	0.000000	0:00:00.118749
0	3	5	0.100	0.335526	0.015839	0.030249	0:00:00.127024
0	3	5	0.300	0.335526	0.015839	0.030249	0:00:00.175399
0	3	5	0.500	0.335526	0.015839	0.030249	0:00:00.122849
0	3	5	0.700	0.335526	0.015839	0.030249	0:00:00.120649
0	3	5	0.900	0.019737	0.002292	0.004107	0:00:00.121874
0	3	5	0.999	0.019737	0.002360	0.004216	0:00:00.136228
0	3	7	0.100	0.348684	0.006398	0.012565	0:00:00.120574
0	3	7	0.300	0.348684	0.006398	0.012565	0:00:00.124517
0	3	7	0.500	0.348684	0.006398	0.012565	0:00:00.122776
0	3	7	0.700	0.348684	0.006398	0.012565	0:00:00.139891
0	3	7	0.900	0.052632	0.004725	0.008672	0:00:00.125569
0	3	7	0.999	0.052632	0.005155	0.009390	0:00:00.145167
0	5	1	0.100	0.000000	0.000000	0.000000	0:00:00.141610
0	5	1	0.300	0.000000	0.000000	0.000000	0:00:00.129116
0	5	1	0.500	0.000000	0.000000	0.000000	0:00:00.144346
0	5	1	0.700	0.000000	0.000000	0.000000	0:00:00.134277
0	5	1	0.900	0.000000	0.000000	0.000000	0:00:00.121765
0	5	1	0.999	0.000000	0.000000	0.000000	0:00:00.118121
0	5	3	0.100	0.355263	0.008155	0.015943	0:00:00.133756
0	5	3	0.300	0.355263	0.008155	0.015943	0:00:00.138823
0	5	3	0.500	0.355263	0.008155	0.015943	0:00:00.132364
0	5	3	0.700	0.000000	0.000000	0.000000	0:00:00.129706
0	5	3	0.900	0.000000	0.000000	0.000000	0:00:00.124726
0	5	3	0.999	0.000000	0.000000	0.000000	0:00:00.133047
0	5	5	0.100	0.500000	0.010848	0.021235	0:00:00.131197
0	5	5	0.300	0.500000	0.010848	0.021235	0:00:00.126342
0	5	5	0.500	0.500000	0.010848	0.021235	0:00:00.129150
0	5	5	0.700	0.500000	0.010851	0.021241	0:00:00.180649
0	5	5	0.900	0.000000	0.000000	0.000000	0:00:00.146694
0	5	5	0.999	0.000000	0.000000	0.000000	0:00:00.142773
0	5	7	0.100	0.506579	0.010502	0.020577	0:00:00.139262
0	5	7	0.300	0.506579	0.010502	0.020577	0:00:00.139009
0	5	7	0.500	0.506579	0.010502	0.020577	0:00:00.148104
0	5	7	0.700	0.506579	0.010502	0.020577	0:00:00.134661
0	5	7	0.900	0.019737	0.000975	0.001859	0:00:00.151448
0	5	7	0.999	0.006579	0.000392	0.000739	0:00:00.146489
0	10	1	0.100	0.000000	0.000000	0.000000	0:00:00.180753
0	10	1	0.300	0.000000	0.000000	0.000000	0:00:00.146192
0	10	1	0.500	0.000000	0.000000	0.000000	0:00:00.167500
0	10	1	0.700	0.000000	0.000000	0.000000	0:00:00.182199
0	10	1	0.900	0.000000	0.000000	0.000000	0:00:00.184935
0	10	1	0.999	0.000000	0.000000	0.000000	0:00:00.158606
0	10	3	0.100	0.013158	0.006849	0.009009	0:00:00.177866
0	10	3	0.300	0.013158	0.006849	0.009009	0:00:00.157470
0	10	3	0.500	0.013158	0.006849	0.009009	0:00:00.154319
0	10	3	0.700	0.000000	0.000000	0.000000	0:00:00.140180
0	10	3	0.900	0.000000	0.000000	0.000000	0:00:00.155071
0	10	3	0.999	0.000000	0.000000	0.000000	0:00:00.142686
0	10	5	0.100	0.013158	0.003460	0.005479	0:00:00.160238
0	10	5	0.300	0.013158	0.003460	0.005479	0:00:00.180556
0	10	5	0.500	0.013158	0.003460	0.005479	0:00:00.294253
0	10	5	0.700	0.013158	0.003460	0.005479	0:00:00.173260
0	10	5	0.900	0.000000	0.000000	0.000000	0:00:00.169067
0	10	5	0.999	0.000000	0.000000	0.000000	0:00:00.162924
0	10	7	0.100	0.039474	0.004542	0.008147	0:00:00.158626
0	10	7	0.300	0.039474	0.004542	0.008147	0:00:00.140957
0	10	7	0.500	0.039474	0.004542	0.008147	0:00:00.149839
0	10	7	0.700	0.039474	0.004542	0.008147	0:00:00.156336
0	10	7	0.900	0.000000	0.000000	0.000000	0:00:00.169016
0	10	7	0.999	0.000000	0.000000	0.000000	0:00:00.153726
0	20	1	0.100	0.000000	0.000000	0.000000	0:00:00.200303
0	20	1	0.300	0.000000	0.000000	0.000000	0:00:00.291564
0	20	1	0.500	0.000000	0.000000	0.000000	0:00:00.197093
0	20	1	0.700	0.000000	0.000000	0.000000	0:00:00.174775
0	20	1	0.900	0.000000	0.000000	0.000000	0:00:00.172016
0	20	1	0.999	0.000000	0.000000	0.000000	0:00:00.183894
0	20	3	0.100	0.013158	0.006849	0.009009	0:00:00.173148
0	20	3	0.300	0.013158	0.006849	0.009009	0:00:00.180678
0	20	3	0.500	0.013158	0.006849	0.009009	0:00:00.181865
0	20	3	0.700	0.000000	0.000000	0.000000	0:00:00.168933
0	20	3	0.900	0.000000	0.000000	0.000000	0:00:00.172975
0	20	3	0.999	0.000000	0.000000	0.000000	0:00:00.182307
0	20	5	0.100	0.013158	0.003460	0.005479	0:00:00.167644
0	20	5	0.300	0.013158	0.003460	0.005479	0:00:00.188257
0	20	5	0.500	0.013158	0.003460	0.005479	0:00:00.253468
0	20	5	0.700	0.013158	0.003460	0.005479	0:00:00.183789
0	20	5	0.900	0.000000	0.000000	0.000000	0:00:00.197988
0	20	5	0.999	0.000000	0.000000	0.000000	0:00:00.170676
0	20	7	0.100	0.039474	0.004542	0.008147	0:00:00.299406
0	20	7	0.300	0.039474	0.004542	0.008147	0:00:00.171858
0	20	7	0.500	0.039474	0.004542	0.008147	0:00:00.179828
0	20	7	0.700	0.039474	0.004542	0.008147	0:00:00.166568
0	20	7	0.900	0.000000	0.000000	0.000000	0:00:00.280086
0	20	7	0.999	0.000000	0.000000	0.000000	0:00:00.212799
0	30	1	0.100	0.000000	0.000000	0.000000	0:00:00.256924
0	30	1	0.300	0.000000	0.000000	0.000000	0:00:00.251177
0	30	1	0.500	0.000000	0.000000	0.000000	0:00:00.235941
0	30	1	0.700	0.000000	0.000000	0.000000	0:00:00.252440
0	30	1	0.900	0.000000	0.000000	0.000000	0:00:00.242865
0	30	1	0.999	0.000000	0.000000	0.000000	0:00:00.247724
0	30	3	0.100	0.013158	0.006849	0.009009	0:00:00.239398
0	30	3	0.300	0.013158	0.006849	0.009009	0:00:00.257791
0	30	3	0.500	0.013158	0.006849	0.009009	0:00:00.341965
0	30	3	0.700	0.000000	0.000000	0.000000	0:00:00.237270
0	30	3	0.900	0.000000	0.000000	0.000000	0:00:00.235782
0	30	3	0.999	0.000000	0.000000	0.000000	0:00:00.232991
0	30	5	0.100	0.013158	0.003460	0.005479	0:00:00.242251
0	30	5	0.300	0.013158	0.003460	0.005479	0:00:00.244719
0	30	5	0.500	0.013158	0.003460	0.005479	0:00:00.248913
0	30	5	0.700	0.013158	0.003460	0.005479	0:00:00.240506
0	30	5	0.900	0.000000	0.000000	0.000000	0:00:00.230215
0	30	5	0.999	0.000000	0.000000	0.000000	0:00:00.261064
0	30	7	0.100	0.039474	0.004542	0.008147	0:00:00.246539
0	30	7	0.300	0.039474	0.004542	0.008147	0:00:00.267863
0	30	7	0.500	0.039474	0.004542	0.008147	0:00:00.238829
0	30	7	0.700	0.039474	0.004542	0.008147	0:00:00.368169
0	30	7	0.900	0.000000	0.000000	0.000000	0:00:00.263998
0	30	7	0.999	0.000000	0.000000	0.000000	0:00:00.238147
1	0	1	0.100	0.000000	0.000000	0.000000	0:00:00.069851
1	0	1	0.300	0.000000	0.000000	0.000000	0:00:00.069637
1	0	1	0.500	0.000000	0.000000	0.000000	0:00:00.074927
1	0	1	0.700	0.000000	0.000000	0.000000	0:00:00.076372
1	0	1	0.900	0.000000	0.000000	0.000000	0:00:00.079332
1	0	1	0.999	0.000000	0.000000	0.000000	0:00:00.071867
1	0	3	0.100	0.000000	0.000000	0.000000	0:00:00.081710
1	0	3	0.300	0.000000	0.000000	0.000000	0:00:00.075648
1	0	3	0.500	0.000000	0.000000	0.000000	0:00:00.076058
1	0	3	0.700	0.000000	0.000000	0.000000	0:00:00.072900
1	0	3	0.900	0.000000	0.000000	0.000000	0:00:00.073956
1	0	3	0.999	0.000000	0.000000	0.000000	0:00:00.086327
1	0	5	0.100	0.736842	0.048802	0.091541	0:00:00.076145
1	0	5	0.300	0.736842	0.048802	0.091541	0:00:00.076315
